A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D
A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B
A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,D
A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,D
A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,D
A,A,A,A,A,A,A,A,A,A,A,A,D,D,D,D
A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A
A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B
A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,C
A,A,A,A,A,A,A,A,A,A,A,C,A,A,C,D
A,A,A,A,A,A,A,A,A,A,A,C,A,B,A,D
A,A,A,A,A,A,A,A,A,A,A,C,A,B,C,D
A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B
A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D
A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D
A,A,A,A,A,A,A,A,A,A,B,A,D,D,D,D
A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,B
A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,D
A,A,A,A,A,A,A,A,A,A,C,A,A,B,A,D
A,A,A,A,A,A,A,A,A,A,C,A,D,D,D,D
A,A,A,A,A,A,A,A,A,A,C,C,A,A,C,C
A,A,A,A,A,A,A,A,A,A,C,C,A,A,C,D
A,A,A,A,A,A,A,A,A,A,C,C,A,A,D,D
A,A,A,A,A,A,A,A,A,A,C,C,A,B,C,D
A,A,A,A,A,A,A,A,A,A,C,D,A,A,D,C
A,A,A,A,A,A,A,A,A,A,C,D,D,D,D,D
A,A,A,A,A,A,A,A,A,B,C,A,D,D,D,D
A,A,A,A,A,A,A,A,A,B,C,C,A,B,C,C
A,A,A,A,A,A,A,A,A,B,C,C,A,B,C,D
A,A,A,A,A,A,A,A,A,B,C,C,A,B,D,D
A,A,A,A,A,A,A,A,A,B,C,D,A,B,C,D
A,A,A,A,A,A,A,A,A,B,C,D,A,B,D,C
A,A,A,A,A,A,A,A,A,B,C,D,D,D,D,D
A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C
A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,D
A,A,A,A,A,A,A,A,C,C,C,C,D,D,D,D
A,A,A,A,A,A,A,B,A,A,A,B,A,B,B,D
A,A,A,A,A,A,A,B,A,A,A,B,A,B,C,D
A,A,A,A,A,A,A,B,A,A,A,C,A,B,C,D
A,A,A,A,A,A,A,B,A,A,B,C,A,B,C,D
A,A,A,A,A,A,A,B,A,A,C,A,A,B,A,D
A,A,A,A,A,A,A,B,A,A,C,C,A,B,C,D
A,A,A,A,A,A,A,B,A,B,C,A,A,A,A,D
A,A,A,A,A,A,A,B,A,B,C,B,A,A,A,D
A,A,A,A,A,A,A,B,A,B,C,C,A,B,C,D
A,A,A,A,A,A,A,B,C,C,C,C,A,A,A,D
A,A,A,A,A,A,A,B,C,C,C,C,A,A,C,D
A,A,A,A,A,A,A,B,C,C,C,C,A,B,A,D
A,A,A,A,A,A,A,B,C,C,C,C,A,B,C,D
A,A,A,A,A,A,A,B,C,C,C,C,C,C,C,D
A,A,A,A,A,A,A,C,C,C,C,C,D,D,D,D
A,A,A,A,A,A,B,B,A,B,C,C,A,B,C,C
A,A,A,A,A,A,B,B,A,B,C,C,A,B,C,C
A,A,A,A,A,A,B,B,A,B,C,C,A,B,D,D
A,A,A,A,A,A,B,B,A,B,C,D,A,B,D,C
A,A,A,A,A,B,A,A,A,A,C,A,A,A,A,D
A,A,A,A,A,B,A,A,A,A,C,A,A,A,A,D
A,A,A,A,A,B,A,A,A,A,C,C,A,A,C,C
A,A,A,A,A,B,A,A,A,A,C,C,A,A,C,D
A,A,A,A,A,B,A,A,A,A,C,C,A,A,D,D
A,A,A,A,A,B,A,A,A,A,C,D,A,A,D,C
A,A,A,A,A,B,A,A,A,A,C,D,D,D,D,D
A,A,A,A,A,B,A,A,C,C,C,C,C,C,C,D
A,A,A,A,A,B,A,A,C,C,C,C,D,D,D,D
A,A,A,A,A,B,A,B,A,A,C,C,A,B,C,D
A,A,A,A,A,B,A,B,C,C,C,C,A,B,A,B
A,A,A,A,A,B,A,B,C,C,C,C,A,B,A,D
A,A,A,A,A,B,A,B,C,C,C,C,A,B,C,D
A,A,A,A,A,B,A,B,C,C,C,C,A,D,A,D
A,A,A,A,A,B,A,B,C,C,C,C,C,D,C,D
A,A,A,A,A,B,A,D,C,C,C,C,A,B,A,D
A,A,A,A,A,B,A,D,C,C,C,C,A,D,A,B
A,A,A,A,A,B,A,D,C,C,C,C,D,D,D,D
A,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B
A,A,A,A,A,B,B,B,A,B,B,B,A,B,B,C
A,A,A,A,A,B,B,B,A,B,B,B,A,B,B,D
